timestamp,pattern_type,active_layers,topology_indicators,leakage_indicators,confidence,fft_correlation
2025-10-06 00:15:47.888669,layered_network_activity,"['data_link_layer', 'network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.766890541705081)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(3.5306440590433157)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(3.554330838952388)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.9225680403255487)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(2.285783138749523)}, {'type': 'multi_layer_activity', 'active_layers': ['data_link_layer', 'network_layer', 'transport_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.8551689115487868), 'data_link_layer': np.float64(1.598269401810232), 'network_layer': np.float64(1.973618155381886), 'transport_layer': np.float64(1.6881951068011196), 'session_layer': np.float64(0.6921777813300953), 'presentation_layer': np.float64(0.7633163339755042), 'application_layer': np.float64(0.9733618029909983)}, 'harmonic_relationships': []}"
2025-10-06 00:15:48.533162,layered_network_activity,['data_link_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.114486983605649)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.881824649467957)}]",[],0.5996311633073605,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.2683904619493935), 'data_link_layer': np.float64(1.6390825796579993), 'network_layer': np.float64(0.9191483235938696), 'transport_layer': np.float64(1.154048882965213), 'session_layer': np.float64(0.8527368310036234), 'presentation_layer': np.float64(0.9419872184549347), 'application_layer': np.float64(1.2256797007373594)}, 'harmonic_relationships': []}"
2025-10-06 00:15:48.839450,layered_network_activity,['data_link_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.31830104304624)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.8950923269280877)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.483305317319014)}]",[],0.7696698687293342,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.481185040377857), 'data_link_layer': np.float64(1.7243021760524886), 'network_layer': np.float64(0.9128220581531516), 'transport_layer': np.float64(0.8861141527762604), 'session_layer': np.float64(0.9180861399889689), 'presentation_layer': np.float64(0.9402304466960669), 'application_layer': np.float64(1.4257018236185022)}, 'harmonic_relationships': []}"
2025-10-06 00:15:49.146907,layered_network_activity,['physical_layer'],"[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.424740079305666)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.92073744111212)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(1.5959347162059792)}]",[],0.6941412236623765,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.5086948133049445), 'data_link_layer': np.float64(1.4687671112994467), 'network_layer': np.float64(1.1125521938156462), 'transport_layer': np.float64(1.1150802709300258), 'session_layer': np.float64(1.0717377542201465), 'presentation_layer': np.float64(1.1138846737936445), 'application_layer': np.float64(1.3522726328572423)}, 'harmonic_relationships': []}"
2025-10-06 00:15:49.475241,layered_network_activity,"['network_layer', 'session_layer']","[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.097094828464645)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.6047944330403072)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.7008489025803861)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.7892355896338163)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.3019633195607512), 'data_link_layer': np.float64(1.1894687781375919), 'network_layer': np.float64(1.6171642601862901), 'transport_layer': np.float64(1.3105070162807082), 'session_layer': np.float64(1.7012021727617266), 'presentation_layer': np.float64(0.9929123792871059), 'application_layer': np.float64(1.0963176827928307)}, 'harmonic_relationships': []}"
2025-10-06 00:15:49.783181,layered_network_activity,"['network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.9709356437210104)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(1.6727565983747923)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.5951549643177025)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.961050492635104)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.188294547321226)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(2.2174239721611233)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.4612596569338727)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'presentation_layer', 'coupling_strength': np.float64(1.3444745668285345)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.7280456486090785), 'data_link_layer': np.float64(1.377684759784556), 'network_layer': np.float64(1.7764739921508192), 'transport_layer': np.float64(1.8022825620255694), 'session_layer': np.float64(1.3237240887327193), 'presentation_layer': np.float64(0.9189145489115754), 'application_layer': np.float64(0.7450535651276612)}, 'harmonic_relationships': []}"
2025-10-06 00:15:50.102662,layered_network_activity,"['data_link_layer', 'network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.8246000056475062)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.32344825145904)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.5781045100671043)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.700719680500928)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.6530461499742657)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(2.4119350534571877)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.7953780855080212)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'presentation_layer', 'coupling_strength': np.float64(1.2848778455811845)}, {'type': 'multi_layer_activity', 'active_layers': ['data_link_layer', 'network_layer', 'transport_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.5366531385082359), 'data_link_layer': np.float64(1.5468375865756367), 'network_layer': np.float64(1.916369077200025), 'transport_layer': np.float64(1.7662676589086597), 'session_layer': np.float64(1.2739593337994977), 'presentation_layer': np.float64(0.7251638227361052), 'application_layer': np.float64(0.7313914701125058)}, 'harmonic_relationships': []}"
2025-10-06 00:15:50.416210,layered_network_activity,"['data_link_layer', 'network_layer', 'transport_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.8934188942106887)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.347665353982712)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.78425336595893)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.7875593495110778)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(2.2567574750757835)}, {'type': 'multi_layer_activity', 'active_layers': ['data_link_layer', 'network_layer', 'transport_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'data_link_layer': np.float64(1.6346976838144425), 'network_layer': np.float64(1.7119618999683452), 'transport_layer': np.float64(1.574890113995793), 'session_layer': np.float64(0.9270759106935158), 'presentation_layer': np.float64(0.6294797473549382), 'application_layer': np.float64(0.7621606626041414)}, 'harmonic_relationships': []}"
2025-10-06 00:15:50.741176,layered_network_activity,"['data_link_layer', 'network_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(3.038348938449827)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.421909199655182)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.7322536272870788)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.6776501879237613)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(1.7462373840636052)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.5980120357586355), 'data_link_layer': np.float64(1.6864709951777683), 'network_layer': np.float64(1.5936339002895725), 'transport_layer': np.float64(1.4862609491685592), 'session_layer': np.float64(0.7202049837203351), 'presentation_layer': np.float64(0.5773068651382424), 'application_layer': np.float64(0.7209954801351507)}, 'harmonic_relationships': []}"
2025-10-06 00:15:51.049542,layered_network_activity,"['data_link_layer', 'network_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(3.071457041737981)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.5249259071452026)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.503874056657179)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.2842743073704734)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.9368757864473946), 'data_link_layer': np.float64(1.7645409996896624), 'network_layer': np.float64(1.5560328619568893), 'transport_layer': np.float64(1.3123073561244214), 'session_layer': np.float64(0.7983737029953715), 'presentation_layer': np.float64(0.5523650587976542), 'application_layer': np.float64(1.0084589850753112)}, 'harmonic_relationships': []}"
2025-10-06 00:15:51.358885,layered_network_activity,"['data_link_layer', 'network_layer']","[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.070277040344776)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.9583494182852874)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.879494254057106)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.47622243194261)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.221231944691752), 'data_link_layer': np.float64(1.8255298525438317), 'network_layer': np.float64(1.698579609917934), 'transport_layer': np.float64(1.1951574985321962), 'session_layer': np.float64(0.6531205853565214), 'presentation_layer': np.float64(0.5140894327534522), 'application_layer': np.float64(0.9552785327313417)}, 'harmonic_relationships': []}"
2025-10-06 00:15:51.686506,layered_network_activity,"['data_link_layer', 'network_layer']","[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.62001814123054)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(3.078688487441066)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.879711046814003)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(2.17960487148679)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.4896223039618006), 'data_link_layer': np.float64(1.9050322020248227), 'network_layer': np.float64(1.637271794722992), 'transport_layer': np.float64(1.0389852194057108), 'presentation_layer': np.float64(0.5125023052236212), 'application_layer': np.float64(0.9318667777753114)}, 'harmonic_relationships': []}"
2025-10-06 00:15:51.995933,layered_network_activity,"['data_link_layer', 'network_layer']","[{'type': 'layer_coupling', 'primary_layer': 'physical_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.732562520289417)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'physical_layer', 'coupling_strength': np.float64(1.9410073889465185)}, {'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(2.603038990267494)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(2.8221897920513976)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.8213953584150795)}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(1.4918168922265473), 'data_link_layer': np.float64(1.5963413166014107), 'network_layer': np.float64(1.5407480610565072), 'transport_layer': np.float64(1.061224611222972), 'presentation_layer': np.float64(0.6371745688622641), 'application_layer': np.float64(0.8063535083768865)}, 'harmonic_relationships': []}"
2025-10-06 00:15:53.535961,layered_network_activity,"['network_layer', 'transport_layer', 'session_layer']","[{'type': 'layer_coupling', 'primary_layer': 'data_link_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(1.5212907111354366)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'data_link_layer', 'coupling_strength': np.float64(1.872872303367443)}, {'type': 'layer_coupling', 'primary_layer': 'network_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.7511153819384584)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'network_layer', 'coupling_strength': np.float64(1.776370487081372)}, {'type': 'layer_coupling', 'primary_layer': 'transport_layer', 'coupled_layer': 'session_layer', 'coupling_strength': np.float64(1.8732534326021935)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'transport_layer', 'coupling_strength': np.float64(1.6418670569251783)}, {'type': 'layer_coupling', 'primary_layer': 'session_layer', 'coupled_layer': 'presentation_layer', 'coupling_strength': np.float64(1.8259065520666484)}, {'type': 'multi_layer_activity', 'active_layers': ['network_layer', 'transport_layer', 'session_layer'], 'layer_count': 3, 'topology_confidence': 0.42857142857142855}]",[],1.0,"{'dominant_frequencies_in_layers': [], 'spectral_energy_distribution': {'physical_layer': np.float64(0.690645134204761), 'data_link_layer': np.float64(1.3074504189593879), 'network_layer': np.float64(1.6601285462109006), 'transport_layer': np.float64(1.5266748955748168), 'session_layer': np.float64(1.556556694320991), 'presentation_layer': np.float64(0.7406066329683761), 'application_layer': np.float64(0.8498235110571905)}, 'harmonic_relationships': []}"
