type,timestamp,confidence
sustained_mid_band,2025-10-06 00:16:17.506697,0.62
rhythmic_pattern,2025-10-06 00:16:17.506697,0.7
sustained_mid_band,2025-10-06 00:16:17.811392,0.6
rhythmic_pattern,2025-10-06 00:16:17.811392,0.7
sustained_mid_band,2025-10-06 00:16:18.117467,0.58
rhythmic_pattern,2025-10-06 00:16:18.117467,0.7
sustained_mid_band,2025-10-06 00:16:18.447564,0.5599999999999999
rhythmic_pattern,2025-10-06 00:16:18.447564,0.7
sustained_mid_band,2025-10-06 00:16:18.757846,0.58
rhythmic_pattern,2025-10-06 00:16:18.757846,0.7
sustained_mid_band,2025-10-06 00:16:19.074302,0.58
rhythmic_pattern,2025-10-06 00:16:19.074302,0.7
rhythmic_pattern,2025-10-06 00:16:19.388803,0.7
sustained_mid_band,2025-10-06 00:16:19.722945,0.64
rhythmic_pattern,2025-10-06 00:16:19.722945,0.7
rhythmic_pattern,2025-10-06 00:16:20.032105,0.7
rhythmic_pattern,2025-10-06 00:16:20.344288,0.7
sustained_mid_band,2025-10-06 00:16:20.652561,0.76
rhythmic_pattern,2025-10-06 00:16:20.652561,0.7
sustained_mid_band,2025-10-06 00:16:20.984527,0.76
rhythmic_pattern,2025-10-06 00:16:20.984527,0.7
sustained_mid_band,2025-10-06 00:16:21.298023,0.8
rhythmic_pattern,2025-10-06 00:16:21.298023,0.7
sustained_mid_band,2025-10-06 00:16:21.620034,0.8
rhythmic_pattern,2025-10-06 00:16:21.620034,0.7
sustained_mid_band,2025-10-06 00:16:21.945267,0.74
rhythmic_pattern,2025-10-06 00:16:21.945267,0.7
sustained_mid_band,2025-10-06 00:16:22.254465,0.72
rhythmic_pattern,2025-10-06 00:16:22.254465,0.7
sustained_mid_band,2025-10-06 00:16:22.557189,0.7
rhythmic_pattern,2025-10-06 00:16:22.557189,0.7
sustained_mid_band,2025-10-06 00:16:22.864895,0.7
rhythmic_pattern,2025-10-06 00:16:22.864895,0.7
sustained_mid_band,2025-10-06 00:16:23.189372,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:23.189372,0.7
sustained_mid_band,2025-10-06 00:16:23.498434,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:23.498434,0.7
speech_burst,2025-10-06 00:16:23.498434,0.5797428371645541
sustained_mid_band,2025-10-06 00:16:23.807415,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:23.807415,0.7
sustained_mid_band,2025-10-06 00:16:24.123654,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:24.123654,0.7
sustained_mid_band,2025-10-06 00:16:24.463432,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:24.463432,0.7
sustained_mid_band,2025-10-06 00:16:24.779969,0.6599999999999999
rhythmic_pattern,2025-10-06 00:16:24.779969,0.7
sustained_mid_band,2025-10-06 00:16:25.086011,0.7
rhythmic_pattern,2025-10-06 00:16:25.086011,0.7
sustained_mid_band,2025-10-06 00:16:25.398509,0.7
rhythmic_pattern,2025-10-06 00:16:25.398509,0.7
