timestamp,channel_type,confidence,description,layers_involved
2025-10-06 00:08:54.095040,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:54.386456,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:54.686595,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:54.976648,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:55.276623,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:55.569185,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:55.881784,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:56.178143,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:56.474350,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:56.791924,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:57.086375,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:57.380707,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:57.674483,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:57.978699,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:58.269709,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:58.562110,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:58.854218,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:59.171327,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:59.471770,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:08:59.774485,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:00.400548,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:00.698264,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:00.989721,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:01.604666,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:01.900158,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:02.197096,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:02.494356,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:02.812075,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:03.114652,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:03.418594,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:03.740834,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:04.043455,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:04.352749,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:04.646665,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:04.969718,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:05.269588,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:05.567967,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:05.867440,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:06.187806,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:06.488625,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:06.783715,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:07.094981,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:07.392908,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:07.689050,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:07.997691,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:08.319630,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:08.620874,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:08.916118,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:09.209547,timing_channel,0.6,Unusually regular timing patterns detected,[]
2025-10-06 00:09:09.527278,timing_channel,0.6,Unusually regular timing patterns detected,[]
